Time(ms),HallSensor,PhotoSensor
0,0,1
10,0,1
20,0,0
30,0,0
40,0,0
51,0,0
62,0,0
72,0,1
82,0,1
93,0,1
103,0,1
113,0,0
123,0,0
134,0,0
144,1,0
154,1,1
165,1,1
176,1,1
186,1,1
196,1,0
206,1,0
217,1,0
227,1,0
237,1,0
248,1,1
259,1,1
269,1,1
279,1,1
289,1,0
300,1,0
310,1,0
320,1,0
330,1,1
342,1,1
352,1,1
362,1,1
372,1,0
382,1,0
393,1,0
403,0,0
413,0,0
424,0,1
435,0,1
445,0,1
455,0,1
465,0,0
476,0,0
486,0,0
496,0,0
507,0,1
518,0,1
528,0,1
538,0,1
548,0,0
559,0,0
569,0,0
579,0,0
589,0,0
601,0,1
611,0,1
621,0,1
631,0,1
642,0,0
652,0,0
662,1,0
672,1,0
684,1,1
694,1,1
704,1,1
714,1,1
724,1,0
735,1,0
745,1,0
755,1,0
766,1,0
777,1,1
787,1,1
797,1,1
807,1,1
818,1,0
828,1,0
838,1,0
849,1,0
860,1,1
870,1,1
880,1,1
890,1,1
901,1,1
911,1,0
921,0,0
931,0,0
943,0,0
953,0,1
963,0,1
973,0,1
984,0,1
994,0,0
1004,0,0
1014,0,0
1026,0,0
1036,0,1
1046,0,1
1056,0,1
1067,0,1
1077,0,1
1088,0,0
1098,0,0
1108,0,0
1119,0,0
1129,0,1
1139,0,1
1150,0,1
1161,0,1
1171,0,0
1181,0,0
1191,0,0
1202,1,0
1213,1,1
1223,1,1
1233,1,1
1244,1,1
1254,1,1
1264,1,0
1275,1,0
1286,1,0
1296,1,0
1306,1,1
1316,1,1
1327,1,1
1338,1,1
1348,1,0
1358,1,0
1369,1,0
1379,1,0
1389,1,1
1400,1,1
1411,1,1
1421,1,1
1431,1,1
1441,1,0
1452,0,0
1463,0,0
1473,0,0
1483,0,1
1494,0,1
1504,0,1
1514,0,1
1525,0,0
1536,0,0
1546,0,0
1556,0,0
1566,0,0
1576,0,1
1588,0,1
1598,0,1
1608,0,1
1618,0,0
1629,0,0
1639,0,0
1650,0,0
1660,0,1
1671,0,1
1681,0,1
1691,0,1
1701,0,1
1713,0,0
1723,0,0
1733,1,0
1743,1,0
1754,1,1
1764,1,1
1775,1,1
1785,1,1
1796,1,0
1806,1,0
1816,1,0
1826,1,0
1838,1,1
1848,1,1
1858,1,1
1868,1,1
1879,1,1
1889,1,0
1900,1,0
1910,1,0
1921,1,0
1931,1,1
1941,1,1
1951,1,1
1963,1,1
1973,1,0
1983,1,0
1993,1,0
2003,0,0
2015,0,0
2025,0,1
2035,0,1
2045,0,1
2056,0,1
2066,0,0
2076,0,0
2087,0,0
2098,0,0
2108,0,1
2118,0,1
2128,0,1
2139,0,1
2150,0,1
2160,0,0
2170,0,0
2181,0,0
2191,0,0
2201,0,1
2212,0,1
2223,0,1
2233,0,1
2243,0,0
2253,0,0
2265,0,0
2275,1,0
2285,1,0
2295,1,1
2306,1,1
2316,1,1
2326,1,1
2337,1,0
2348,1,0
2358,1,0
2368,1,0
2378,1,1
2388,1,1
2400,1,1
2410,1,1
2420,1,1
2430,1,0
2441,1,0
2451,1,0
2462,1,0
2472,1,1
2483,1,1
2493,1,1
2503,1,1
2513,1,0
2525,1,0
2535,1,0
2545,0,0
2555,0,0
2566,0,1
2576,0,1
2587,0,1
2597,0,1
2608,0,0
2618,0,0
2628,0,0
2638,0,0
2650,0,1
2660,0,1
2670,0,1
2680,0,1
2691,0,1
2701,0,0
2712,0,0
2722,0,0
2733,0,0
2743,0,1
2753,0,1
2764,0,1
2775,0,1
2785,0,0
2795,0,0
2805,0,0
2816,1,0
2827,1,0
2837,1,1
2847,1,1
2857,1,1
2868,1,1
2878,1,0
2888,1,0
2899,1,0
2910,1,0
2920,1,1
2930,1,1
2940,1,1
2951,1,1
2962,1,1
2972,1,0
2982,1,0
2993,1,0
3003,1,0
3014,1,1
3024,1,1
3035,1,1
3045,1,1
3055,1,1
3065,1,0
3077,0,0
3087,0,0
3097,0,0
3107,0,1
3118,0,1
3128,0,1
3139,0,1
3149,0,0
3160,0,0
3170,0,0
3180,0,0
3190,0,0
3202,0,1
3212,0,1
3222,0,1
3232,0,1
3243,0,0
3253,0,0
3264,0,0
3274,0,0
3284,0,1
3295,0,1
3305,0,1
3315,0,1
3326,0,1
3337,0,0
3347,0,0
3357,0,0
3367,1,0
3378,1,1
3389,1,1
3399,1,1
3409,1,1
3420,1,1
3430,1,0
3440,1,0
3451,1,0
3462,1,0
3472,1,1
3482,1,1
3492,1,1
3503,1,1
3514,1,0
3524,1,0
3534,1,0
3545,1,0
3555,1,0
3565,1,1
3576,1,1
3587,1,1
3597,1,1
3607,1,0
3617,1,0
3628,1,0
3639,0,0
3649,0,0
3659,0,1
3670,0,1
3680,0,1
3690,0,1
3701,0,0
3712,0,0
3722,0,0
3732,0,0
3742,0,1
3752,0,1
3764,0,1
3774,0,1
3784,0,1
3794,0,0
3805,0,0
3815,0,0
3826,0,0
3836,0,1
3847,0,1
3857,0,1
3867,0,1
3877,0,1
3889,0,0
3899,0,0
3909,1,0
3919,1,0
3930,1,1
3940,1,1
3951,1,1
3961,1,1
3972,1,0
3982,1,0
3992,1,0
4002,1,0
4014,1,0
4024,1,1
4034,1,1
4044,1,1
4055,1,1
4065,1,0
4076,1,0
4086,1,0
4097,1,0
4107,1,0
4117,1,1
4127,1,1
4139,1,1
4149,1,1
4159,1,0
4169,1,0
4179,1,0
4190,0,0
4201,0,0
4211,0,1
4221,0,1
4232,0,1
4242,0,1
4252,0,0
4263,0,0
4274,0,0
4284,0,0
4294,0,1
4304,0,1
4315,0,1
4326,0,1
4336,0,1
4346,0,0
4357,0,0
4367,0,0
4377,0,0
4388,0,1
4399,0,1
4409,0,1
4419,0,1
4429,0,1
4440,0,0
4451,0,0
4461,0,0
4471,1,0
4482,1,1
4492,1,1
4502,1,1
4513,1,1
4524,1,1
4534,1,0
4544,1,0
4554,1,0
4564,1,0
4576,1,1
4586,1,1
4596,1,1
4606,1,1
4617,1,1
4627,1,0
4638,1,0
4648,1,0
4659,1,0
4669,1,1
4679,1,1
4689,1,1
4701,1,1
4711,1,1
4721,1,0
4731,0,0
4742,0,0
4752,0,0
4763,0,1
4773,0,1
4784,0,1
4794,0,1
4804,0,1
4814,0,0
4826,0,0
4836,0,0
4846,0,0
4856,0,1
4867,0,1
4877,0,1
4888,0,1
4898,0,0
4909,0,0
4919,0,0
4929,0,0
4939,0,0
4951,0,1
4961,0,1
4971,0,1
4981,0,1
4992,0,0
5002,0,0
5013,0,0
5023,1,0
5033,1,0
5044,1,1
5054,1,1
5064,1,1
5075,1,1
5086,1,0
5096,1,0
5106,1,0
5116,1,0
5127,1,0
5138,1,1
5148,1,1
5158,1,1
5169,1,1
5179,1,0
5189,1,0
5200,1,0
5211,1,0
5221,1,0
5231,1,1
5241,1,1
5252,1,1
5263,1,1
5273,1,0
5283,1,0
5294,1,0
5304,0,0
5314,0,0
5325,0,1
5336,0,1
5346,0,1
5356,0,1
5366,0,0
5377,0,0
5388,0,0
5398,0,0
5408,0,0
5419,0,1
5429,0,1
5439,0,1
5450,0,1
5460,0,0
5471,0,0
5481,0,0
5491,0,0
5501,0,0
5513,0,1
5523,0,1
5533,0,1
5543,0,1
5554,0,0
5564,0,0
5575,0,0
5585,1,0
5596,1,0
5606,1,1
5616,1,1
5626,1,1
5638,1,1
5648,1,0
5658,1,0
5668,1,0
5679,1,0
5689,1,0
5700,1,1
5710,1,1
5721,1,1
5731,1,1
5741,1,0
5751,1,0
5763,1,0
5773,1,0
5783,1,0
5793,1,1
5804,1,1
5814,1,1
5825,1,1
5835,1,1
5846,1,0
5856,0,0
5866,0,0
5876,0,0
5888,0,1
5898,0,1
5908,0,1
5918,0,1
5928,0,1
5939,0,0
5950,0,0
5960,0,0
5970,0,0
5981,0,1
5991,0,1
6001,0,1
6012,0,1
6023,0,1
6033,0,0
6043,0,0
6053,0,0
6064,0,0
6075,0,1
6085,0,1
6095,0,1
6106,0,1
6116,0,1
6126,0,0
6137,0,0
6148,1,0
6158,1,0
6168,1,1
6178,1,1
6189,1,1
6200,1,1
6210,1,1
6220,1,0
6231,1,0
6241,1,0
6251,1,0
6262,1,1
6273,1,1
6283,1,1
6293,1,1
6303,1,1
6313,1,0
6325,1,0
6335,1,0
6345,1,0
6355,1,1
6366,1,1
6376,1,1
6387,1,1
6397,1,1
6408,1,0
6418,1,0
6428,1,0
6438,0,0
6450,0,0
6460,0,1
6470,0,1
6480,0,1
6491,0,1
6501,0,0
6512,0,0
6522,0,0
6533,0,0
6543,0,0
6553,0,1
6563,0,1
6575,0,1
6585,0,1
6595,0,0
6605,0,0
6616,0,0
6626,0,0
6637,0,0
6647,0,1
6658,0,1
6668,0,1
6678,0,1
6688,0,0
6700,0,0
6710,0,0
6720,1,0
6730,1,0
6740,1,1
6751,1,1
6762,1,1
6772,1,1
6782,1,1
6793,1,0
6803,1,0
6813,1,0
6824,1,0
6835,1,1
6845,1,1
6855,1,1
6865,1,1
6876,1,1
6887,1,0
6897,1,0
6907,1,0
6918,1,0
6928,1,1
6938,1,1
6949,1,1
6960,1,1
6970,1,1
6980,1,0
6990,1,0
7001,1,0
7012,0,0
7022,0,0
7032,0,1
7043,0,1
7053,0,1
7063,0,1
7074,0,0
7085,0,0
7095,0,0
7105,0,0
7115,0,0
7126,0,1
7137,0,1
7147,0,1
7157,0,1
7168,0,0
7178,0,0
7188,0,0
7199,0,0
7209,0,0
7220,0,1
7230,0,1
7240,0,1
7250,0,1
7262,0,1
7272,0,0
7282,0,0
7292,1,0
7303,1,0
7313,1,1
7324,1,1
7334,1,1
7345,1,1
7355,1,1
7365,1,0
7375,1,0
7387,1,0
7397,1,0
7407,1,1
7417,1,1
7428,1,1
7438,1,1
7449,1,1
7459,1,0
7470,1,0
7480,1,0
7490,1,0
7500,1,0
7512,1,1
7522,1,1
7532,1,1
7542,1,1
7553,1,0
7563,1,0
7574,1,0
7584,0,0
7595,0,0
7605,0,1
7615,0,1
7625,0,1
7636,0,1
7647,0,1
7657,0,0
7667,0,0
7677,0,0
7688,0,0
7699,0,1
7709,0,1
7719,0,1
7730,0,1
